user_id,signup_date,trial_end_date,trial_length_days,age,country,gender,device_type,acquisition_channel,city_tier,preferred_plan_before_conversion,days_active_trial,sessions_count,avg_session_minutes,features_used,support_tickets,emails_opened,webinar_attended,payment_method_on_file,referred_friend,discount_offered_pct,plan_page_views,last_activity_gap_days,satisfaction_score,monthly_income_usd,converted_to_paid_plan,selected_plan
usr-00001,2025-04-17,2025-05-08,21,37.0,peru,male,mobile,paid ads,tier_1,standard,12,26,8.5,11,0,4,1,1,0,0.0,0,14,7.2,1150.0,0,none
usr-00002,2025-02-20,2025-03-06,14,30.0,mexico,female,mobile,organic search,tier_2,basic,8,14,10.8,4,0,6,0,0,0,10.0,1,17,6.9,2290.0,0,none
usr-00003,2025-09-28,2025-10-12,14,34.0,colombia,male,desktop,email_campaign,tier_1,standard,9,10,13.3,9,1,4,1,1,0,0.0,0,8,8.2,2071.0,1,premium
usr-00004,2025-05-15,2025-06-05,21,25.0,colombia,male,mobile,organic search,tier_3,premium,11,25,12.5,12,1,7,0,0,0,10.0,5,12,8.8,3051.0,0,none
usr-00005,2025-08-31,2025-09-14,14,34.0,colombia,male,mobile,social media,tier_3,premium,10,22,15.5,11,1,5,0,0,0,15.0,3,10,10.0,1572.0,0,none
usr-00006,2025-04-23,2025-05-07,14,32.0,colombia,female,mobile,paid ads,tier_1,basic,3,5,21.4,8,0,8,0,1,0,10.0,1,6,6.9,1881.0,0,none
usr-00007,2025-05-31,2025-06-14,14,37.0,colombia,prefer_not_to_say,mobile,organic search,tier_1,standard,11,20,10.2,19,1,14,0,0,0,0.0,2,6,4.8,1432.0,0,none
usr-00008,2025-05-08,05-22-2025,14,40.0,chile,male,mobile,paid ads,tier_3,standard,11,21,5.8,10,2,5,0,0,1,20.0,3,5,7.0,1968.0,1,premium
usr-00009,2025-06-10,2025-07-01,21,25.0,colombia,female,mobile,paid ads,tier_1,premium,6,9,18.3,12,4,8,0,0,0,0.0,3,18,5.6,1215.0,0,none
usr-00010,2025-01-05,2025-01-19,14,26.0,peru,female,mobile,partner,tier_2,basic,10,17,11.8,12,0,6,0,0,0,0.0,3,3,6.6,1306.0,0,none
usr-00011,2025-07-08,2025-07-15,7,34.0,peru,prefer_not_to_say,desktop,paid ads,tier_1,standard,5,7,12.6,8,0,5,0,0,0,0.0,5,11,6.9,1861.0,1,basic
usr-00012,2025-09-21,2025-10-05,14,28.0,peru,female,desktop,referral,tier_1,premium,9,15,6.6,10,0,5,0,1,0,25.0,2,6,7.5,2199.0,1,premium
usr-00013,2025-12-21,2025-12-28,7,33.0,colombia,female,desktop,social media,tier_2,standard,5,7,15.9,12,1,3,0,1,0,5.0,2,3,8.2,2060.0,0,none
usr-00014,2025-05-25,2025-06-24,30,19.0,mexico,male,tablet,partner,tier_1,basic,9,19,2.0,15,0,2,0,0,0,20.0,6,31,7.3,2138.0,1,standard
usr-00015,2025-01-20,2025-02-03,14,33.0,peru,male,desktop,organic search,tier_2,standard,6,5,9.8,10,1,3,0,0,0,0.0,3,7,10.0,250.0,0,none
usr-00016,2025-10-16,2025-10-23,7,21.0,colombia,male,mobile,partner,tier_3,basic,4,9,15.3,10,0,3,0,0,0,20.0,4,3,7.1,1458.0,0,none
usr-00017,2025-03-07,2025-03-14,7,45.0,ecuador,male,mobile,referral,tier_1,standard,3,9,19.2,8,1,4,0,0,0,10.0,2,5,7.3,2201.0,1,standard
usr-00018,2025-10-04,2025-10-18,14,20.0,colombia,male,desktop,referral,tier_1,standard,10,13,13.4,7,1,3,1,1,0,0.0,4,4,7.1,1458.0,0,none
usr-00019,2025-12-31,2026-01-14,14,27.0,ecuador,female,desktop,referral,tier_2,basic,1,1,19.2,5,1,4,0,0,0,10.0,4,15,9.9,2840.0,0,none
usr-00020,2025-11-16,2025-12-07,21,39.0,colombia,female,mobile,organic search,tier_2,premium,11,21,14.2,8,0,3,0,1,0,0.0,4,16,6.2,1978.0,0,none
usr-00021,2025-12-01,2025-12-15,14,37.0,colombia,prefer_not_to_say,desktop,organic search,tier_1,standard,9,17,11.4,7,1,6,0,1,0,15.0,2,11,7.1,733.0,0,none
usr-00022,2025-03-10,03-31-2025,21,31.0,argentina,male,mobile,organic search,tier_1,standard,13,17,14.5,12,0,6,0,1,0,15.0,5,13,4.4,1461.0,1,premium
usr-00023,2025-04-14,2025-04-28,14,40.0,colombia,female,mobile,paid ads,tier_3,basic,1,1,2.8,12,1,4,0,0,0,5.0,3,10,9.6,2849.0,0,none
